Clean Technology CAD,Consumer Products & Services CAD,Financial Services CAD,Technology CAD,Industrial Products & Services CAD,Life Sciences CAD,Oil & Gas CAD,Real Estate CAD,Mining CAD,Utilities & Pipelines CAD,Comm & Media CAD,Technology US,Health Care US,Consumer Services US,Capital Goods US,Consumer Durables US,Finance US,Consumer Non-Durables US,Public Utilities US,Basic Industries US,Energy US,Transportation US,Fixed Income ETF US,Fixed Income ETF CAD,
5727.153579220696,13189.982597501361,12687.168498058489,8818.404145559623,14812.433489289651,23412.022003542905,55011.49954832514,10945.288379735553,77568.62335376497,15508.220916675558,208959.41599942418,6279.403764512552,19960.635159802718,12583.880168294236,23267.950065480283,8467.51461835213,19213.494355841238,9735.601409434774,12737.372870632444,17343.920019340934,10328.182075298082,13447.218605956597,112990.75891357384,287003.8554623819,
5689.262008421002,13102.71600816922,12603.228590259258,8760.060470922694,14714.432560117511,23257.125111563284,54647.53652531566,10872.872970610058,77055.41955313564,15405.616570081194,207576.9141342163,6237.858436797546,19828.573078717855,12500.623629118858,23114.00637162358,8411.492473106571,19086.375452598393,9671.189441957311,12653.100804368883,17229.17045583325,10259.849519356472,13358.250110731453,112243.19779409931,285105.0017371222,
5630.591664682071,12967.59464252021,12473.258173618864,8669.722610187484,14562.690415890791,23017.2867067482,54083.98544475716,10760.746794372928,76260.78785126668,15246.74661149272,205436.2834361583,6173.530708853219,19624.091513857777,12371.711323061263,22875.64387451943,8324.74920938904,18889.547778485867,9571.45559104939,12522.616082017044,17051.495152519008,10154.045129064836,13220.493557317814,111085.69318503237,282164.86496211577,
5697.959165463481,13122.746089159933,12622.49510639606,8773.451947972697,14736.9264671615,23292.67820599846,54731.07604352415,10889.494297521765,77173.21393206138,15429.167087959944,207894.23631377952,6247.3942314846745,19858.884956381182,12519.733293372403,23149.34068088853,8424.351095348253,19115.552735071455,9685.973759016319,12672.44356000345,17255.508634835063,10275.533719235116,13378.67082590572,112414.78361959309,285540.84086178086,
5697.754683994603,13122.275155915571,12622.042125554093,8773.137096937553,14736.397606163506,23291.8423065272,54729.111920844836,10889.103508517379,77170.4444330733,15428.613384667573,207886.77565680072,6247.170032554493,19858.172284730113,12519.284000322128,23148.509925341055,8424.048772422393,19114.86673922835,9685.62616050179,12671.988786671775,17254.889390005566,10275.164963305597,13378.190708343856,112410.74941376418,285530.59371734393,
5704.953903849466,13138.855396568757,12637.990312395916,8784.222120123113,14755.017320791354,23321.271985916614,54798.26317972341,10902.862094930446,77267.9507362723,15448.107726908022,208149.4444949443,6255.063449001749,19883.263457678488,12535.102350346388,23177.75850157989,8434.692715965826,19139.018731685777,9697.864130724927,12688.000082056233,17276.69126621462,10288.14782685773,13395.094303094997,112552.7825029305,285891.3669751388,
5745.0235944121,13231.138328028106,12726.75533481083,8845.91956205148,14858.651633750738,23485.072810209367,55183.14787572414,10979.44015634057,77810.65501199345,15556.610075363064,209611.41666374105,6298.99692525333,20022.91685848632,12623.144722084115,23340.551335097283,8493.935180114677,19273.44480614251,9765.978688946758,12777.116356388196,17398.036974637653,10360.408340585396,13489.176971040857,113343.31565058882,287899.37243886257,
5745.184369764928,13231.508603432212,12727.111494980705,8846.16711644622,14859.067455360471,23485.73004351837,55184.69218445049,10979.747417631319,77812.83255492394,15557.045429445181,209617.28267088917,6299.173203633477,20023.477202838207,12623.497982695346,23341.20452395098,8494.172884173335,19273.984176405836,9766.251991335099,12777.473925918865,17398.523861329613,10360.6982781773,13489.554467695352,113346.48758039295,287907.4293462751,
5777.733518386769,13306.471269955287,12799.216516667557,8896.28477841755,14943.251001763574,23618.78765637792,55497.33920009983,11041.952806967045,78253.67853801294,15645.1833465614,210804.86232860526,6334.860957342271,20136.919538793714,12695.015985516737,23473.44333234521,8542.296334672434,19383.18028485353,9821.582363188303,12849.864274262629,17497.094612504,10419.396465455187,13565.979084374696,113988.64828970519,289538.5591941598,
5757.263534120918,13259.32765271106,12753.870056870195,8864.766050726284,14890.30842282439,23535.108440269054,55300.71717580477,11002.832172638102,77976.432873546,15589.753885178092,210057.9998779057,6312.41712124106,20065.57626468631,12650.038698722312,23390.279057954685,8512.031755835678,19314.50744035656,9786.785390326815,12804.33837406744,17435.10399797042,10382.481491611416,13517.916054550928,113584.7968781525,288512.7504177252,
