Clean Technology CAD,Consumer Products & Services CAD,Financial Services CAD,Technology CAD,Industrial Products & Services CAD,Life Sciences CAD,Oil & Gas CAD,Real Estate CAD,Mining CAD,Utilities & Pipelines CAD,Comm & Media CAD,Technology US,Health Care US,Consumer Services US,Capital Goods US,Consumer Durables US,Finance US,Consumer Non-Durables US,Public Utilities US,Basic Industries US,Energy US,Transportation US,Fixed Income ETF US,Fixed Income ETF CAD,
14622.697786906125,12359.444146116319,13129.637173486291,16065.884949811963,35833.99017236901,14607.273306630641,24750.463856754744,40710.24649431028,61079.68398144767,136396.48511867484,34444.74602130226,24684.49955154604,19263.75937124976,15067.55846594221,14304.848398145765,12467.016718707473,8686.570120899178,12976.205427395042,27694.717730893215,15349.441042538972,17016.25712338403,28488.576208707374,140051.4893120927,259948.50752068782,
14507.796014668169,12262.326496763239,13026.467525719529,15939.642947125052,35552.41497761598,14492.492736386006,24555.980444576235,40390.3548068387,60599.73397225804,135324.7131313472,34174.08718530567,24490.53447159893,19112.38921206448,14949.161081528913,14192.444212783055,12369.053788995392,8618.313064909527,12874.24141075055,27477.099053732352,15228.82869012962,16882.54731628644,28264.719575504732,138950.9971484008,257905.8923589709,
14462.217220490875,12223.802240221054,12985.542585665802,15889.565753841383,35440.72080965745,14446.962020150415,24478.83351079157,40263.46139955427,60409.34924399693,134899.5667313924,34066.72327665675,24413.593147855172,19052.34427806815,14902.195661325228,14147.856151785152,12330.194229883415,8591.237117815712,12833.794715824863,27390.77491179563,15180.984644919245,16829.507823000247,28175.920985098004,138514.45813907412,257095.63561335247,
14692.000383979059,12418.02031244253,13191.863581226367,16142.027366725888,36003.821254062765,14676.502801150466,24867.76583816948,40903.18803291346,61369.16413004916,137042.92059782485,34607.99293986549,24801.488902710753,19355.0577467801,15138.969429121187,14372.644584538524,12526.102712889191,8727.739122529885,13037.70466299271,27825.973665463058,15422.187955821853,17096.90372008572,28623.594544376025,140715.2472639223,261180.50362283993,
14695.631714792109,12421.089597673887,13195.12413250952,16146.017091734731,36012.720095751465,14680.130301521873,24873.912249956826,40913.297820769025,61384.33236656239,137076.79264841502,34616.5467833079,24807.618933238122,19359.841616624053,15142.711234507044,14376.196982154968,12529.198712178595,8729.89630379694,13040.927111770057,27832.851239172127,15425.999762578249,17101.129455973547,28630.669261101633,140750.02698076825,261245.0579915975,
14742.176465087441,12460.430302785444,13236.916399067573,16197.155576175826,36126.7814098102,14726.625954954692,24952.694166720357,41042.880493211036,61578.75193813966,137510.94922017257,34726.186066421804,24886.190882445793,19421.159089141816,15190.671997738136,14421.730002559761,12568.881825962126,8757.546074249161,13082.230997701412,27921.004857613072,15474.857771607036,17155.293020748733,28721.34976925596,141195.8176066511,262072.4865925653,
14879.225719404198,12576.26751891882,13359.972145024873,16347.730906692617,36462.63062887256,14863.530645419363,25184.66453668858,41424.43176414632,62151.21300281792,138789.30680160873,35049.01478285583,25117.543010898524,19601.70606451125,15331.890648511362,14555.800256534074,12685.727251461063,8838.95977608368,13203.84872540129,28180.569848208084,15618.718328647523,17314.77558573139,28988.355090903628,142508.4312198081,264508.8187684491,
14942.153336330988,12629.4554038077,13416.47449435064,16416.86916479277,36616.839355564865,14926.391884322053,25291.176189396938,41599.625072092764,62414.06456493087,139376.27822718208,35197.24500783593,25223.77079146581,19684.60612084486,15396.73268798891,14617.360033896113,12739.37806636043,8876.341739722779,13259.690793410766,28299.75186329601,15684.773427374254,17388.00369489377,29110.953412812218,143111.13166523137,265627.486495864,
14986.733212441068,12667.135351574703,13456.50251155335,16465.84885179025,36726.08560175649,14970.924736180537,25366.632348614636,41723.73744667471,62600.27676629182,139792.1069953787,35302.25589793637,25299.02584685187,19743.33509265974,15442.668800427378,14660.97089002239,12777.385968108898,8902.824282510332,13299.251046844318,28384.18410031129,15731.56890861904,17439.8807592681,29197.805867567455,143538.10335906994,266419.9854197389,
14868.480853770288,12567.18570866772,13350.32439128565,16335.925576541418,36436.29954994717,14852.797113806739,25166.47771422987,41394.51757629403,62106.3312028309,138689.0816634779,35023.704530726805,25099.40465949532,19587.550912769453,15320.818895986144,14545.288948963374,12676.566396094266,8832.576820617542,13194.313714434964,28160.219566397976,15607.439446736593,17302.2719151333,28967.421476058757,142405.52035777585,264317.8066976432,
14922.054067213507,12612.46703424311,13398.42747492847,16394.786198303103,36567.58462688733,14906.313816544065,25257.156048853183,41543.66780537958,62330.10898957506,139188.79779771346,35149.899830492155,25189.841320533218,19658.127594825957,15376.021946581019,14597.697656828008,12722.241835565468,8864.401828694585,13241.854669816496,28261.684771100183,15663.675231212863,17364.614417738536,29071.795141996736,142918.62733976354,265270.18067682255,
14908.10898516715,12600.680326675421,13385.906265074354,16379.46480637958,36533.41118363601,14892.383444207644,25233.552521364774,41504.8440714993,62271.85973783647,139058.72192501658,35117.05125382506,25166.30070056446,19639.756517965303,15361.652618697213,14584.055695031362,12710.35254033765,8856.117794188594,13229.479781682143,28235.273426447086,15649.037083189614,17348.386693883094,29044.62672626362,142785.06583574886,265022.2781818089,
15043.647864086513,12715.240938406801,13507.605853552881,16528.380694998632,36865.55911734489,15027.779352466263,25462.966421095553,41882.19038958505,62838.01189472557,140322.9911420198,35436.32217964355,25395.103172219042,19818.313743656556,15501.314944506508,14716.648404205196,12825.910250286059,8936.634262011337,13349.757199836225,28491.97783543752,15791.312199673765,17506.111653224885,29308.6894688305,144083.21355985387,267431.76033069566,
14944.970385307755,12631.836439099041,13419.003906604376,16419.96424241923,36623.74274007158,14929.205961787204,25295.944342982428,41607.46786279404,62425.83150860766,139402.55488176644,35203.88075576346,25228.52623708994,19688.317265971178,15399.635438957124,14620.115849487058,12741.779825406715,8878.015199287307,13262.190647182913,28305.087224621435,15687.730482755756,17391.281860825693,29116.441710226816,143138.11245293624,265677.5653313699,
