Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ARA,"American Renal Associates Holdings, Inc",20.17,$622.61M,2016,Health Care US,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ara
AWR,American States Water Company,41.29,$1.51B,n/a,Public Utilities US,Water Supply,http://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),102.57,$43.66B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amt
AMT^A,American Tower Corporation (REIT),102.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^a
AMT^B,American Tower Corporation (REIT),100.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^b
AVD,American Vanguard Corporation,17.5,$513.8M,n/a,Basic Industries US,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd
AWK,American Water Works,70.61,$12.57B,2008,Public Utilities US,Water Supply,http://www.nasdaq.com/symbol/awk
APU,"AmeriGas Partners, L.P.",43.69,$4.06B,n/a,Consumer Services US,Other Specialty Stores,http://www.nasdaq.com/symbol/apu
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",114.26,$18.06B,n/a,Finance US,Investment Managers,http://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),81.33,$17.9B,n/a,Health Care US,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,8.01,$288.08M,2012,Consumer Non-Durables US,Packaged Foods,http://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,31.05,$1.49B,n/a,Technology US,Professional Services,http://www.nasdaq.com/symbol/amn
AP,Ampco-Pittsburgh Corporation,14.75,$180.99M,n/a,Capital Goods US,Fluid Controls,http://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,66.63,$20.55B,n/a,Capital Goods US,Electrical Products,http://www.nasdaq.com/symbol/aph
BETR,"Amplify Snack Brands, inc.",13.47,$1.01B,2015,Consumer Non-Durables US,Packaged Foods,http://www.nasdaq.com/symbol/betr
AXR,AMREP Corporation,6.94,$56.07M,n/a,Consumer Services US,Newspapers/Magazines,http://www.nasdaq.com/symbol/axr
AME,"AMTEK, Inc.",47.84,$11.07B,n/a,Consumer Durables US,Metal Fabrications,http://www.nasdaq.com/symbol/ame
AFSI^A,"AmTrust Financial Services, Inc.",23.84,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^a
AFSI^B,"AmTrust Financial Services, Inc.",24.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^b
AFSI^C,"AmTrust Financial Services, Inc.",24.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^c
AFSI^D,"AmTrust Financial Services, Inc.",24.5523,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^d
AFSI^E,"AmTrust Financial Services, Inc.",24.9905,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^e
AFSI^F,"AmTrust Financial Services, Inc.",23.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^f
AFSS,"AmTrust Financial Services, Inc.",24.8575,n/a,2015,Finance US,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afss
AFST,"AmTrust Financial Services, Inc.",25.3315,n/a,2015,Finance US,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,42.19,n/a,2015,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,60.5,$33.81B,n/a,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
AU,AngloGold Ashanti Limited,11.72,$4.78B,n/a,Basic Industries US,Precious Metals,http://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,101.98,$205.92B,n/a,Consumer Non-Durables US,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,74.25,$2.45B,n/a,Consumer Non-Durables US,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,10.02,$10.21B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly
NLY^A,Annaly Capital Management Inc,25.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^a
NLY^C,Annaly Capital Management Inc,24.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,24.4479,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^d
NLY^E,Annaly Capital Management Inc,24.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^e
AM,Antero Midstream Partners LP,28.25,$5.01B,2014,Public Utilities US,Natural Gas Distribution,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,25.1,$7.88B,2013,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",138.6,$36.51B,n/a,Health Care US,Medical Specialities,http://www.nasdaq.com/symbol/antm
ANTX,"Anthem, Inc.",46.1979,$12.17B,2015,Health Care US,Medical Specialities,http://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,5,$478.57M,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,24.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,23.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
AON,Aon plc,110.19,$28.99B,n/a,Finance US,Specialty Insurers,http://www.nasdaq.com/symbol/aon
APA,Apache Corporation,58.93,$22.36B,n/a,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,42.8,$6.71B,1994,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,25.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a
ARI,Apollo Commercial Real Estate Finance US,17.3,$1.4B,2009,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ari
ARI^A,Apollo Commercial Real Estate Finance US,25.24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^a
ARI^C,Apollo Commercial Real Estate Finance US,24.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^c
APO,"Apollo Global Management, LLC",19.05,$7.65B,2011,Finance US,Investment Managers,http://www.nasdaq.com/symbol/apo
AIB,Apollo Investment Corporation,24.73,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aib
AIY,Apollo Investment Corporation,25.0001,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,16.76,$261M,2011,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,14.67,$212.19M,2013,n/a,n/a,http://www.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",18.16,$4.06B,2015,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",56.05,$2.19B,n/a,Consumer Durables US,Industrial Specialties,http://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",73.51,$4.61B,n/a,Consumer Non-Durables US,Plastic Products,http://www.nasdaq.com/symbol/atr
WTR,"Aqua America, Inc.",28.96,$5.14B,n/a,Public Utilities US,Water Supply,http://www.nasdaq.com/symbol/wtr
WAAS,AquaVenture Holdings Limited,19.6,$498.1M,2016,Public Utilities US,Water Supply,http://www.nasdaq.com/symbol/waas
ARMK,Aramark,36.47,$8.9B,2013,Consumer Services US,Restaurants,http://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,7.49,$385M,2004,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.3284,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,24.5101,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,25.3759,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^c
